# timestamp, timestep, pktv4counts, pktv6counts
1548997275.269851, 747, 12501, 450
1548997275.369851, 748, 12479, 423
1548997275.469851, 749, 13159, 527
1548997275.569850, 750, 12531, 425
1548997275.669850, 751, 13551, 520
1548997275.769850, 752, 11962, 585
1548997275.869850, 753, 11802, 637
1548997275.969850, 754, 12944, 637
1548997276.069850, 755, 10835, 781
1548997276.169850, 756, 11123, 776
1548997276.269850, 757, 11695, 512
1548997276.369850, 758, 11373, 459
1548997276.469850, 759, 11983, 385
1548997276.569849, 760, 13942, 273
1548997276.669849, 761, 14542, 262
1548997276.769849, 762, 13014, 369
1548997276.869849, 763, 11911, 210
